"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT111","T","TOTAL","2011","37583","",""
"AT112","T","TOTAL","2011","150320","",""
"AT113","T","TOTAL","2011","97782","",""
"AT121","T","TOTAL","2011","241174","",""
"AT122","T","TOTAL","2011","253038","",""
"AT123","T","TOTAL","2011","148477","",""
"AT124","T","TOTAL","2011","219541","",""
"AT125","T","TOTAL","2011","123430","",""
"AT126","T","TOTAL","2011","307940","",""
"AT127","T","TOTAL","2011","321093","",""
"AT130","T","TOTAL","2011","1714227","",""
"AT211","T","TOTAL","2011","276805","",""
"AT212","T","TOTAL","2011","127046","",""
"AT213","T","TOTAL","2011","152322","",""
"AT221","T","TOTAL","2011","404786","",""
"AT222","T","TOTAL","2011","79367","",""
"AT223","T","TOTAL","2011","164668","",""
"AT224","T","TOTAL","2011","266800","",""
"AT225","T","TOTAL","2011","190084","",""
"AT226","T","TOTAL","2011","102870","",""
"AT311","T","TOTAL","2011","275360","",""
"AT312","T","TOTAL","2011","552053","",""
"AT313","T","TOTAL","2011","204168","",""
"AT314","T","TOTAL","2011","152462","",""
"AT315","T","TOTAL","2011","229719","",""
"AT321","T","TOTAL","2011","20502","",""
"AT322","T","TOTAL","2011","162562","",""
"AT323","T","TOTAL","2011","346002","",""
"AT331","T","TOTAL","2011","31618","",""
"AT332","T","TOTAL","2011","286379","",""
"AT333","T","TOTAL","2011","49319","",""
"AT334","T","TOTAL","2011","100148","",""
"AT335","T","TOTAL","2011","241855","",""
"AT341","T","TOTAL","2011","87636","",""
"AT342","T","TOTAL","2011","282804","",""
"ATZZZ","T","TOTAL","2011","0","",""
"BE100","T","TOTAL","2011","0","",""
"BE211","T","TOTAL","2011","0","",""
"BE212","T","TOTAL","2011","0","",""
"BE213","T","TOTAL","2011","0","",""
"BE221","T","TOTAL","2011","0","",""
"BE222","T","TOTAL","2011","0","",""
"BE223","T","TOTAL","2011","0","",""
"BE231","T","TOTAL","2011","0","",""
"BE232","T","TOTAL","2011","0","",""
"BE233","T","TOTAL","2011","0","",""
"BE234","T","TOTAL","2011","0","",""
"BE235","T","TOTAL","2011","0","",""
"BE236","T","TOTAL","2011","0","",""
"BE241","T","TOTAL","2011","0","",""
"BE242","T","TOTAL","2011","0","",""
"BE251","T","TOTAL","2011","0","",""
"BE252","T","TOTAL","2011","0","",""
"BE253","T","TOTAL","2011","0","",""
"BE254","T","TOTAL","2011","0","",""
"BE255","T","TOTAL","2011","0","",""
"BE256","T","TOTAL","2011","0","",""
"BE257","T","TOTAL","2011","0","",""
"BE258","T","TOTAL","2011","0","",""
"BE310","T","TOTAL","2011","0","",""
"BE321","T","TOTAL","2011","0","",""
"BE322","T","TOTAL","2011","0","",""
"BE323","T","TOTAL","2011","0","",""
"BE324","T","TOTAL","2011","0","",""
"BE325","T","TOTAL","2011","0","",""
"BE326","T","TOTAL","2011","0","",""
"BE327","T","TOTAL","2011","0","",""
"BE331","T","TOTAL","2011","0","",""
"BE332","T","TOTAL","2011","0","",""
"BE334","T","TOTAL","2011","0","",""
"BE335","T","TOTAL","2011","0","",""
"BE336","T","TOTAL","2011","0","",""
"BE341","T","TOTAL","2011","0","",""
"BE342","T","TOTAL","2011","0","",""
"BE343","T","TOTAL","2011","0","",""
"BE344","T","TOTAL","2011","0","",""
"BE345","T","TOTAL","2011","0","",""
"BE351","T","TOTAL","2011","0","",""
"BE352","T","TOTAL","2011","0","",""
"BE353","T","TOTAL","2011","0","",""
"BEZZZ","T","TOTAL","2011","0","",""
"BG311","T","TOTAL","2011","101018","",""
"BG312","T","TOTAL","2011","148098","",""
"BG313","T","TOTAL","2011","186848","",""
"BG314","T","TOTAL","2011","269752","",""
"BG315","T","TOTAL","2011","141422","",""
"BG321","T","TOTAL","2011","258494","",""
"BG322","T","TOTAL","2011","122702","",""
"BG323","T","TOTAL","2011","235252","",""
"BG324","T","TOTAL","2011","125190","",""
"BG325","T","TOTAL","2011","119474","",""
"BG331","T","TOTAL","2011","475074","",""
"BG332","T","TOTAL","2011","189677","",""
"BG333","T","TOTAL","2011","180528","",""
"BG334","T","TOTAL","2011","120818","",""
"BG341","T","TOTAL","2011","415817","",""
"BG342","T","TOTAL","2011","197473","",""
"BG343","T","TOTAL","2011","131447","",""
"BG344","T","TOTAL","2011","333265","",""
"BG411","T","TOTAL","2011","1291591","",""
"BG412","T","TOTAL","2011","247489","",""
"BG413","T","TOTAL","2011","323552","",""
"BG414","T","TOTAL","2011","133530","",""
"BG415","T","TOTAL","2011","136686","",""
"BG421","T","TOTAL","2011","683027","",""
"BG422","T","TOTAL","2011","246238","",""
"BG423","T","TOTAL","2011","275548","",""
"BG424","T","TOTAL","2011","121752","",""
"BG425","T","TOTAL","2011","152808","",""
"BGZZZ","T","TOTAL","2011","0","",""
"CH011","T","TOTAL","2011","725944","",""
"CH012","T","TOTAL","2011","317022","",""
"CH013","T","TOTAL","2011","460534","",""
"CH021","T","TOTAL","2011","985046","",""
"CH022","T","TOTAL","2011","284668","",""
"CH023","T","TOTAL","2011","256990","",""
"CH024","T","TOTAL","2011","173183","",""
"CH025","T","TOTAL","2011","70542","",""
"CH031","T","TOTAL","2011","186255","",""
"CH032","T","TOTAL","2011","275360","",""
"CH033","T","TOTAL","2011","618298","",""
"CH040","T","TOTAL","2011","1392396","",""
"CH051","T","TOTAL","2011","39217","",""
"CH052","T","TOTAL","2011","77139","",""
"CH053","T","TOTAL","2011","53313","",""
"CH054","T","TOTAL","2011","15743","",""
"CH055","T","TOTAL","2011","483156","",""
"CH056","T","TOTAL","2011","193388","",""
"CH057","T","TOTAL","2011","251973","",""
"CH061","T","TOTAL","2011","381966","",""
"CH062","T","TOTAL","2011","35382","",""
"CH063","T","TOTAL","2011","147904","",""
"CH064","T","TOTAL","2011","35885","",""
"CH065","T","TOTAL","2011","41311","",""
"CH066","T","TOTAL","2011","115104","",""
"CH070","T","TOTAL","2011","336943","",""
"CHZZZ","T","TOTAL","2011","0","",""
"CY000","T","TOTAL","2011","840407","",""
"CYZZZ","T","TOTAL","2011","0","",""
"CZ010","T","TOTAL","2011","1268796","",""
"CZ020","T","TOTAL","2011","1289211","",""
"CZ031","T","TOTAL","2011","628336","",""
"CZ032","T","TOTAL","2011","570401","",""
"CZ041","T","TOTAL","2011","295595","",""
"CZ042","T","TOTAL","2011","808961","",""
"CZ051","T","TOTAL","2011","432439","",""
"CZ052","T","TOTAL","2011","547916","",""
"CZ053","T","TOTAL","2011","511627","",""
"CZ063","T","TOTAL","2011","505565","",""
"CZ064","T","TOTAL","2011","1163508","",""
"CZ071","T","TOTAL","2011","628427","",""
"CZ072","T","TOTAL","2011","579944","",""
"CZ080","T","TOTAL","2011","1205834","",""
"CZZZZ","T","TOTAL","2011","0","",""
"DE111","T","TOTAL","2011","585890","",""
"DE112","T","TOTAL","2011","363949","",""
"DE113","T","TOTAL","2011","502893","",""
"DE114","T","TOTAL","2011","247407","",""
"DE115","T","TOTAL","2011","509871","",""
"DE116","T","TOTAL","2011","406874","",""
"DE117","T","TOTAL","2011","116059","",""
"DE118","T","TOTAL","2011","322813","",""
"DE119","T","TOTAL","2011","107280","",""
"DE11A","T","TOTAL","2011","186353","",""
"DE11B","T","TOTAL","2011","130625","",""
"DE11C","T","TOTAL","2011","127817","",""
"DE11D","T","TOTAL","2011","306529","",""
"DE121","T","TOTAL","2011","52315","",""
"DE122","T","TOTAL","2011","289173","",""
"DE123","T","TOTAL","2011","424121","",""
"DE124","T","TOTAL","2011","222324","",""
"DE125","T","TOTAL","2011","146751","",""
"DE126","T","TOTAL","2011","290117","",""
"DE127","T","TOTAL","2011","142810","",""
"DE128","T","TOTAL","2011","524039","",""
"DE129","T","TOTAL","2011","114411","",""
"DE12A","T","TOTAL","2011","151049","",""
"DE12B","T","TOTAL","2011","191353","",""
"DE12C","T","TOTAL","2011","115973","",""
"DE131","T","TOTAL","2011","209629","",""
"DE132","T","TOTAL","2011","247279","",""
"DE133","T","TOTAL","2011","156453","",""
"DE134","T","TOTAL","2011","410202","",""
"DE135","T","TOTAL","2011","136478","",""
"DE136","T","TOTAL","2011","203967","",""
"DE137","T","TOTAL","2011","132213","",""
"DE138","T","TOTAL","2011","266965","",""
"DE139","T","TOTAL","2011","219003","",""
"DE13A","T","TOTAL","2011","163136","",""
"DE141","T","TOTAL","2011","273353","",""
"DE142","T","TOTAL","2011","211952","",""
"DE143","T","TOTAL","2011","185559","",""
"DE144","T","TOTAL","2011","116761","",""
"DE145","T","TOTAL","2011","186192","",""
"DE146","T","TOTAL","2011","187444","",""
"DE147","T","TOTAL","2011","204083","",""
"DE148","T","TOTAL","2011","269595","",""
"DE149","T","TOTAL","2011","127600","",""
"DE211","T","TOTAL","2011","124927","",""
"DE212","T","TOTAL","2011","1348335","",""
"DE213","T","TOTAL","2011","59329","",""
"DE214","T","TOTAL","2011","106022","",""
"DE215","T","TOTAL","2011","100829","",""
"DE216","T","TOTAL","2011","119178","",""
"DE217","T","TOTAL","2011","138697","",""
"DE218","T","TOTAL","2011","127567","",""
"DE219","T","TOTAL","2011","123420","",""
"DE21A","T","TOTAL","2011","125706","",""
"DE21B","T","TOTAL","2011","162818","",""
"DE21C","T","TOTAL","2011","201597","",""
"DE21D","T","TOTAL","2011","84046","",""
"DE21E","T","TOTAL","2011","113084","",""
"DE21F","T","TOTAL","2011","93630","",""
"DE21G","T","TOTAL","2011","106415","",""
"DE21H","T","TOTAL","2011","317249","",""
"DE21I","T","TOTAL","2011","90593","",""
"DE21J","T","TOTAL","2011","116116","",""
"DE21K","T","TOTAL","2011","244256","",""
"DE21L","T","TOTAL","2011","127132","",""
"DE21M","T","TOTAL","2011","168510","",""
"DE21N","T","TOTAL","2011","128762","",""
"DE221","T","TOTAL","2011","63544","",""
"DE222","T","TOTAL","2011","48649","",""
"DE223","T","TOTAL","2011","44488","",""
"DE224","T","TOTAL","2011","114454","",""
"DE225","T","TOTAL","2011","78170","",""
"DE226","T","TOTAL","2011","112753","",""
"DE227","T","TOTAL","2011","147161","",""
"DE228","T","TOTAL","2011","184190","",""
"DE229","T","TOTAL","2011","76782","",""
"DE22A","T","TOTAL","2011","116634","",""
"DE22B","T","TOTAL","2011","95853","",""
"DE22C","T","TOTAL","2011","90156","",""
"DE231","T","TOTAL","2011","41912","",""
"DE232","T","TOTAL","2011","135403","",""
"DE233","T","TOTAL","2011","41746","",""
"DE234","T","TOTAL","2011","103902","",""
"DE235","T","TOTAL","2011","125689","",""
"DE236","T","TOTAL","2011","126436","",""
"DE237","T","TOTAL","2011","96317","",""
"DE238","T","TOTAL","2011","182289","",""
"DE239","T","TOTAL","2011","142406","",""
"DE23A","T","TOTAL","2011","74866","",""
"DE241","T","TOTAL","2011","70635","",""
"DE242","T","TOTAL","2011","70808","",""
"DE243","T","TOTAL","2011","41023","",""
"DE244","T","TOTAL","2011","44759","",""
"DE245","T","TOTAL","2011","143610","",""
"DE246","T","TOTAL","2011","105396","",""
"DE247","T","TOTAL","2011","87775","",""
"DE248","T","TOTAL","2011","112738","",""
"DE249","T","TOTAL","2011","99371","",""
"DE24A","T","TOTAL","2011","69927","",""
"DE24B","T","TOTAL","2011","74070","",""
"DE24C","T","TOTAL","2011","67297","",""
"DE24D","T","TOTAL","2011","76044","",""
"DE251","T","TOTAL","2011","39491","",""
"DE252","T","TOTAL","2011","103720","",""
"DE253","T","TOTAL","2011","115613","",""
"DE254","T","TOTAL","2011","486314","",""
"DE255","T","TOTAL","2011","38469","",""
"DE256","T","TOTAL","2011","178354","",""
"DE257","T","TOTAL","2011","130395","",""
"DE258","T","TOTAL","2011","112786","",""
"DE259","T","TOTAL","2011","163967","",""
"DE25A","T","TOTAL","2011","97475","",""
"DE25B","T","TOTAL","2011","123344","",""
"DE25C","T","TOTAL","2011","92369","",""
"DE261","T","TOTAL","2011","67359","",""
"DE262","T","TOTAL","2011","52143","",""
"DE263","T","TOTAL","2011","124297","",""
"DE264","T","TOTAL","2011","172612","",""
"DE265","T","TOTAL","2011","104020","",""
"DE266","T","TOTAL","2011","80829","",""
"DE267","T","TOTAL","2011","84575","",""
"DE268","T","TOTAL","2011","87719","",""
"DE269","T","TOTAL","2011","128405","",""
"DE26A","T","TOTAL","2011","127508","",""
"DE26B","T","TOTAL","2011","113084","",""
"DE26C","T","TOTAL","2011","158095","",""
"DE271","T","TOTAL","2011","267767","",""
"DE272","T","TOTAL","2011","41550","",""
"DE273","T","TOTAL","2011","64078","",""
"DE274","T","TOTAL","2011","41241","",""
"DE275","T","TOTAL","2011","126387","",""
"DE276","T","TOTAL","2011","237095","",""
"DE277","T","TOTAL","2011","93308","",""
"DE278","T","TOTAL","2011","120183","",""
"DE279","T","TOTAL","2011","163854","",""
"DE27A","T","TOTAL","2011","78422","",""
"DE27B","T","TOTAL","2011","133585","",""
"DE27C","T","TOTAL","2011","135161","",""
"DE27D","T","TOTAL","2011","127920","",""
"DE27E","T","TOTAL","2011","148649","",""
"DE300","T","TOTAL","2011","3292365","",""
"DE401","T","TOTAL","2011","71569","",""
"DE402","T","TOTAL","2011","99984","",""
"DE403","T","TOTAL","2011","59140","",""
"DE404","T","TOTAL","2011","156021","",""
"DE405","T","TOTAL","2011","172165","",""
"DE406","T","TOTAL","2011","160162","",""
"DE407","T","TOTAL","2011","110188","",""
"DE408","T","TOTAL","2011","152457","",""
"DE409","T","TOTAL","2011","187374","",""
"DE40A","T","TOTAL","2011","200807","",""
"DE40B","T","TOTAL","2011","117943","",""
"DE40C","T","TOTAL","2011","178176","",""
"DE40D","T","TOTAL","2011","100242","",""
"DE40E","T","TOTAL","2011","202816","",""
"DE40F","T","TOTAL","2011","80276","",""
"DE40G","T","TOTAL","2011","122523","",""
"DE40H","T","TOTAL","2011","159255","",""
"DE40I","T","TOTAL","2011","124682","",""
"DE501","T","TOTAL","2011","542707","",""
"DE502","T","TOTAL","2011","108156","",""
"DE600","T","TOTAL","2011","1706696","",""
"DE711","T","TOTAL","2011","143499","",""
"DE712","T","TOTAL","2011","667925","",""
"DE713","T","TOTAL","2011","113443","",""
"DE714","T","TOTAL","2011","269121","",""
"DE715","T","TOTAL","2011","260741","",""
"DE716","T","TOTAL","2011","282601","",""
"DE717","T","TOTAL","2011","251049","",""
"DE718","T","TOTAL","2011","226130","",""
"DE719","T","TOTAL","2011","400862","",""
"DE71A","T","TOTAL","2011","224059","",""
"DE71B","T","TOTAL","2011","96613","",""
"DE71C","T","TOTAL","2011","332328","",""
"DE71D","T","TOTAL","2011","180226","",""
"DE71E","T","TOTAL","2011","292573","",""
"DE721","T","TOTAL","2011","251238","",""
"DE722","T","TOTAL","2011","253441","",""
"DE723","T","TOTAL","2011","170696","",""
"DE724","T","TOTAL","2011","241226","",""
"DE725","T","TOTAL","2011","108510","",""
"DE731","T","TOTAL","2011","190765","",""
"DE732","T","TOTAL","2011","216179","",""
"DE733","T","TOTAL","2011","120694","",""
"DE734","T","TOTAL","2011","234933","",""
"DE735","T","TOTAL","2011","181850","",""
"DE736","T","TOTAL","2011","158990","",""
"DE737","T","TOTAL","2011","102124","",""
"DE801","T","TOTAL","2011","55447","",""
"DE802","T","TOTAL","2011","64111","",""
"DE803","T","TOTAL","2011","200266","",""
"DE804","T","TOTAL","2011","91293","",""
"DE805","T","TOTAL","2011","56729","",""
"DE806","T","TOTAL","2011","42469","",""
"DE807","T","TOTAL","2011","115654","",""
"DE808","T","TOTAL","2011","77573","",""
"DE809","T","TOTAL","2011","96905","",""
"DE80A","T","TOTAL","2011","120925","",""
"DE80B","T","TOTAL","2011","76008","",""
"DE80C","T","TOTAL","2011","63719","",""
"DE80D","T","TOTAL","2011","103289","",""
"DE80E","T","TOTAL","2011","114165","",""
"DE80F","T","TOTAL","2011","102878","",""
"DE80G","T","TOTAL","2011","93445","",""
"DE80H","T","TOTAL","2011","65495","",""
"DE80I","T","TOTAL","2011","69610","",""
"DE911","T","TOTAL","2011","242537","",""
"DE912","T","TOTAL","2011","98895","",""
"DE913","T","TOTAL","2011","119984","",""
"DE914","T","TOTAL","2011","171331","",""
"DE915","T","TOTAL","2011","248037","",""
"DE916","T","TOTAL","2011","140137","",""
"DE917","T","TOTAL","2011","91410","",""
"DE918","T","TOTAL","2011","137446","",""
"DE919","T","TOTAL","2011","76786","",""
"DE91A","T","TOTAL","2011","130398","",""
"DE91B","T","TOTAL","2011","120773","",""
"DE922","T","TOTAL","2011","211184","",""
"DE923","T","TOTAL","2011","150259","",""
"DE925","T","TOTAL","2011","277594","",""
"DE926","T","TOTAL","2011","73547","",""
"DE927","T","TOTAL","2011","122242","",""
"DE928","T","TOTAL","2011","157497","",""
"DE929","T","TOTAL","2011","1102242","",""
"DE931","T","TOTAL","2011","176690","",""
"DE932","T","TOTAL","2011","198778","",""
"DE933","T","TOTAL","2011","238442","",""
"DE934","T","TOTAL","2011","49205","",""
"DE935","T","TOTAL","2011","174123","",""
"DE936","T","TOTAL","2011","110907","",""
"DE937","T","TOTAL","2011","162726","",""
"DE938","T","TOTAL","2011","136693","",""
"DE939","T","TOTAL","2011","195450","",""
"DE93A","T","TOTAL","2011","93595","",""
"DE93B","T","TOTAL","2011","132300","",""
"DE941","T","TOTAL","2011","73322","",""
"DE942","T","TOTAL","2011","49787","",""
"DE943","T","TOTAL","2011","157267","",""
"DE944","T","TOTAL","2011","153699","",""
"DE945","T","TOTAL","2011","77451","",""
"DE946","T","TOTAL","2011","117912","",""
