,GEO,SEX,AGE_M3,VALUE
0,AT,F,18-29,634295.0
1,AT,F,30-39,552650.0
2,AT,F,40+,2383439.0
3,AT,F,<18,737618.0
4,AT,F,TOTAL,4308002.0
5,AT,M,18-29,650078.0
6,AT,M,30-39,550474.0
7,AT,M,40+,2118411.0
8,AT,M,<18,774975.0
9,AT,M,TOTAL,4093938.0
10,AT,T,18-29,1080458.0
11,AT,T,30-39,1103124.0
12,AT,T,40+,4501850.0
13,AT,T,TOTAL,8401940.0
14,AT1,F,18-29,276137.0
15,AT1,F,30-39,246769.0
16,AT1,F,40+,1029631.0
17,AT1,F,<18,309579.0
18,AT1,F,TOTAL,1862116.0
19,AT1,M,18-29,277227.0
20,AT1,M,30-39,241580.0
21,AT1,M,40+,907204.0
22,AT1,M,<18,326478.0
23,AT1,M,TOTAL,1752489.0
24,AT1,T,18-29,469679.0
25,AT1,T,30-39,488349.0
26,AT1,T,40+,1936835.0
27,AT1,T,TOTAL,3614605.0
28,AT11,F,18-29,18292.0
29,AT11,F,30-39,18245.0
30,AT11,F,40+,86642.0
31,AT11,F,<18,22935.0
32,AT11,F,TOTAL,146114.0
33,AT11,M,18-29,19148.0
34,AT11,M,30-39,17869.0
35,AT11,M,40+,78611.0
36,AT11,M,<18,23943.0
37,AT11,M,TOTAL,139571.0
38,AT11,T,18-29,31243.0
39,AT11,T,30-39,36114.0
40,AT11,T,40+,165253.0
41,AT11,T,TOTAL,285685.0
42,AT111,F,18-29,2366.0
43,AT111,F,30-39,2274.0
44,AT111,F,40+,11648.0
45,AT111,F,<18,2915.0
46,AT111,F,TOTAL,19203.0
47,AT111,M,18-29,2389.0
48,AT111,M,30-39,2331.0
49,AT111,M,40+,10650.0
50,AT111,M,<18,3010.0
51,AT111,M,TOTAL,18380.0
52,AT111,T,18-29,4000.0
53,AT111,T,30-39,4605.0
54,AT111,T,40+,22298.0
55,AT111,T,TOTAL,37583.0
56,AT112,F,18-29,9765.0
57,AT112,F,30-39,9901.0
58,AT112,F,40+,44808.0
59,AT112,F,<18,12376.0
60,AT112,F,TOTAL,76850.0
61,AT112,M,18-29,10119.0
62,AT112,M,30-39,9464.0
63,AT112,M,40+,40926.0
64,AT112,M,<18,12961.0
65,AT112,M,TOTAL,73470.0
66,AT112,T,18-29,16625.0
67,AT112,T,30-39,19365.0
68,AT112,T,40+,85734.0
69,AT112,T,TOTAL,150320.0
70,AT113,F,18-29,6161.0
71,AT113,F,30-39,6070.0
72,AT113,F,40+,30186.0
73,AT113,F,<18,7644.0
74,AT113,F,TOTAL,50061.0
75,AT113,M,18-29,6640.0
76,AT113,M,30-39,6074.0
77,AT113,M,40+,27035.0
78,AT113,M,<18,7972.0
79,AT113,M,TOTAL,47721.0
80,AT113,T,18-29,10618.0
81,AT113,T,30-39,12144.0
82,AT113,T,40+,57221.0
83,AT113,T,TOTAL,97782.0
84,AT12,F,18-29,109913.0
85,AT12,F,30-39,100171.0
86,AT12,F,40+,470446.0
87,AT12,F,<18,142743.0
88,AT12,F,TOTAL,823273.0
89,AT12,M,18-29,114972.0
90,AT12,M,30-39,98575.0
91,AT12,M,40+,426829.0
92,AT12,M,<18,151044.0
93,AT12,M,TOTAL,791420.0
94,AT12,T,18-29,185375.0
95,AT12,T,30-39,198746.0
96,AT12,T,40+,897275.0
97,AT12,T,TOTAL,1614693.0
98,AT121,F,18-29,18332.0
99,AT121,F,30-39,14824.0
100,AT121,F,40+,65473.0
101,AT121,F,<18,23006.0
102,AT121,F,TOTAL,121635.0
103,AT121,M,18-29,19250.0
104,AT121,M,30-39,15614.0
105,AT121,M,40+,60391.0
106,AT121,M,<18,24284.0
107,AT121,M,TOTAL,119539.0
108,AT121,T,18-29,31137.0
109,AT121,T,30-39,30438.0
110,AT121,T,40+,125864.0
111,AT121,T,TOTAL,241174.0
112,AT122,F,18-29,17704.0
113,AT122,F,30-39,15484.0
114,AT122,F,40+,73988.0
115,AT122,F,<18,22120.0
116,AT122,F,TOTAL,129296.0
117,AT122,M,18-29,18353.0
118,AT122,M,30-39,15644.0
119,AT122,M,40+,66231.0
120,AT122,M,<18,23514.0
121,AT122,M,TOTAL,123742.0
122,AT122,T,18-29,29913.0
123,AT122,T,30-39,31128.0
124,AT122,T,40+,140219.0
125,AT122,T,TOTAL,253038.0
126,AT123,F,18-29,10533.0
127,AT123,F,30-39,9262.0
128,AT123,F,40+,42786.0
129,AT123,F,<18,13246.0
130,AT123,F,TOTAL,75827.0
131,AT123,M,18-29,10935.0
132,AT123,M,30-39,9188.0
133,AT123,M,40+,38508.0
134,AT123,M,<18,14019.0
135,AT123,M,TOTAL,72650.0
136,AT123,T,18-29,17865.0
137,AT123,T,30-39,18450.0
138,AT123,T,40+,81294.0
139,AT123,T,TOTAL,148477.0
140,AT124,F,18-29,14924.0
141,AT124,F,30-39,12747.0
142,AT124,F,40+,65458.0
143,AT124,F,<18,18264.0
144,AT124,F,TOTAL,111393.0
145,AT124,M,18-29,15994.0
146,AT124,M,30-39,13142.0
147,AT124,M,40+,59709.0
148,AT124,M,<18,19303.0
149,AT124,M,TOTAL,108148.0
150,AT124,T,18-29,25539.0
151,AT124,T,30-39,25889.0
152,AT124,T,40+,125167.0
153,AT124,T,TOTAL,219541.0
154,AT125,F,18-29,7973.0
155,AT125,F,30-39,7264.0
156,AT125,F,40+,37260.0
157,AT125,F,<18,10020.0
158,AT125,F,TOTAL,62517.0
159,AT125,M,18-29,8642.0
160,AT125,M,30-39,7306.0
161,AT125,M,40+,34412.0
162,AT125,M,<18,10553.0
163,AT125,M,TOTAL,60913.0
164,AT125,T,18-29,13647.0
165,AT125,T,30-39,14570.0
166,AT125,T,40+,71672.0
167,AT125,T,TOTAL,123430.0
168,AT126,F,18-29,19915.0
169,AT126,F,30-39,19272.0
170,AT126,F,40+,90265.0
171,AT126,F,<18,27645.0
172,AT126,F,TOTAL,157097.0
173,AT126,M,18-29,20640.0
174,AT126,M,30-39,18041.0
175,AT126,M,40+,82879.0
176,AT126,M,<18,29283.0
177,AT126,M,TOTAL,150843.0
178,AT126,T,18-29,32970.0
179,AT126,T,30-39,37313.0
180,AT126,T,40+,173144.0
181,AT126,T,TOTAL,307940.0
182,AT127,F,18-29,20532.0
183,AT127,F,30-39,21318.0
184,AT127,F,40+,95216.0
185,AT127,F,<18,28442.0
186,AT127,F,TOTAL,165508.0
187,AT127,M,18-29,21158.0
188,AT127,M,30-39,19640.0
189,AT127,M,40+,84699.0
190,AT127,M,<18,30088.0
191,AT127,M,TOTAL,155585.0
192,AT127,T,18-29,34304.0
193,AT127,T,30-39,40958.0
194,AT127,T,40+,179915.0
195,AT127,T,TOTAL,321093.0
196,AT13,F,18-29,147932.0
197,AT13,F,30-39,128353.0
198,AT13,F,40+,472543.0
199,AT13,F,<18,143901.0
200,AT13,F,TOTAL,892729.0
201,AT13,M,18-29,143107.0
202,AT13,M,30-39,125136.0
203,AT13,M,40+,401764.0
204,AT13,M,<18,151491.0
205,AT13,M,TOTAL,821498.0
206,AT13,T,18-29,253061.0
207,AT13,T,30-39,253489.0
208,AT13,T,40+,874307.0
209,AT13,T,TOTAL,1714227.0
210,AT130,F,18-29,147932.0
211,AT130,F,30-39,128353.0
212,AT130,F,40+,472543.0
213,AT130,F,<18,143901.0
214,AT130,F,TOTAL,892729.0
215,AT130,M,18-29,143107.0
216,AT130,M,30-39,125136.0
217,AT130,M,40+,401764.0
218,AT130,M,<18,151491.0
219,AT130,M,TOTAL,821498.0
220,AT130,T,18-29,253061.0
221,AT130,T,30-39,253489.0
222,AT130,T,40+,874307.0
223,AT130,T,TOTAL,1714227.0
224,AT2,F,18-29,127875.0
225,AT2,F,30-39,110115.0
226,AT2,F,40+,519656.0
227,AT2,F,<18,146402.0
228,AT2,F,TOTAL,904048.0
229,AT2,M,18-29,135053.0
230,AT2,M,30-39,112364.0
