"","nuts3","age","gender","incl_prob","country"
"1","AT112","age_0017","gender_M",0.000288980145419875,"AT"
"2","AT112","age_4099","gender_M",0.000109900233444093,"AT"
"3","AT112","age_1829","gender_F",0.000402819469515304,"AT"
"4","AT112","age_3039","gender_M",0.000259645710147529,"AT"
"5","AT112","age_3039","gender_F",0.000210905674315419,"AT"
"6","AT112","age_1829","gender_M",0.000342885254642229,"AT"
"7","AT112","age_4099","gender_F",8.0620799843327e-05,"AT"
"8","AT112","age_0017","gender_F",0.000256504578172816,"AT"
"9","AT113","age_3039","gender_F",0.000138099198665457,"AT"
"10","AT113","age_4099","gender_F",3.7772253327724e-05,"AT"
"11","AT113","age_1829","gender_M",0.000455823104787417,"AT"
"12","AT113","age_0017","gender_F",0.000256504578172816,"AT"
"13","AT113","age_3039","gender_M",0,"AT"
"14","AT113","age_1829","gender_F",0.00027851970210501,"AT"
"15","AT113","age_0017","gender_M",0.000319982797146567,"AT"
"16","AT113","age_4099","gender_M",4.65013735215196e-05,"AT"
"17","AT122","age_4099","gender_F",6.31927609418692e-05,"AT"
"18","AT122","age_1829","gender_M",0.000490327614288205,"AT"
"19","AT122","age_3039","gender_F",0.000182970617104157,"AT"
"20","AT122","age_3039","gender_M",0.000353995439050332,"AT"
"21","AT122","age_1829","gender_F",0.000376756030008653,"AT"
"22","AT122","age_0017","gender_M",0.000345927699782773,"AT"
"23","AT122","age_4099","gender_M",0.000106908276060958,"AT"
"24","AT122","age_0017","gender_F",0.00028507630447856,"AT"
"25","AT123","age_0017","gender_M",0.000301117335597848,"AT"
"26","AT123","age_0017","gender_F",0.00022252981628238,"AT"
"27","AT123","age_1829","gender_M",0.000437450161564687,"AT"
"28","AT123","age_4099","gender_F",7.09634257563789e-05,"AT"
"29","AT123","age_4099","gender_M",0.000123600442322215,"AT"
"30","AT123","age_3039","gender_F",0.000138099198665457,"AT"
"31","AT123","age_3039","gender_M",0.000396532015471196,"AT"
"32","AT123","age_1829","gender_F",0.000388289544946929,"AT"
"33","AT124","age_0017","gender_M",0.000226510444971432,"AT"
"34","AT124","age_4099","gender_F",5.00452759145295e-05,"AT"
"35","AT124","age_3039","gender_F",0.000182970617104157,"AT"
"36","AT124","age_1829","gender_M",0.000437450161564687,"AT"
"37","AT124","age_1829","gender_F",0.000336859488890659,"AT"
"38","AT124","age_3039","gender_M",0.000303703252332425,"AT"
"39","AT124","age_0017","gender_F",0.000109976757060142,"AT"
"40","AT124","age_4099","gender_M",0.000113709490802425,"AT"
"41","AT126","age_1829","gender_F",0.000388289544946929,"AT"
"42","AT126","age_0017","gender_F",0.000266103065231755,"AT"
"43","AT126","age_3039","gender_F",0.000231039159136545,"AT"
"44","AT126","age_4099","gender_F",7.09634257563789e-05,"AT"
"45","AT126","age_0017","gender_M",0.000226510444971432,"AT"
"46","AT126","age_4099","gender_M",0.000123600442322215,"AT"
"47","AT126","age_3039","gender_M",0.000362876007435716,"AT"
"48","AT126","age_1829","gender_M",0.000455823104787417,"AT"
"49","AT127","age_3039","gender_M",0.000505612794012481,"AT"
"50","AT127","age_3039","gender_F",0.000374938274763765,"AT"
"51","AT127","age_1829","gender_M",0.000624144429475558,"AT"
"52","AT127","age_0017","gender_M",0.000426987998615945,"AT"
"53","AT127","age_1829","gender_F",0.000503946594083016,"AT"
"54","AT127","age_4099","gender_M",0.000146011408069911,"AT"
"55","AT127","age_0017","gender_F",0.000305387567787691,"AT"
"56","AT127","age_4099","gender_F",9.41484503953824e-05,"AT"
"57","AT130","age_4099","gender_M",0.000199047944091916,"AT"
"58","AT130","age_0017","gender_F",0.000412942185409525,"AT"
"59","AT130","age_0017","gender_M",0.000508005991978517,"AT"
"60","AT130","age_1829","gender_M",0.000822411857746538,"AT"
"61","AT130","age_1829","gender_F",0.000665690444945963,"AT"
"62","AT130","age_4099","gender_F",0.000143576820943524,"AT"
"63","AT130","age_3039","gender_F",0.000514797308555367,"AT"
"64","AT130","age_3039","gender_M",0.000685415252331929,"AT"
"65","AT211","age_4099","gender_F",8.0620799843327e-05,"AT"
"66","AT211","age_0017","gender_F",0.000252840391878609,"AT"
"67","AT211","age_3039","gender_F",0.000287544310803641,"AT"
"68","AT211","age_1829","gender_M",0.000495910541824173,"AT"
"69","AT211","age_4099","gender_M",0.000128584632656787,"AT"
"70","AT211","age_0017","gender_M",0.000301117335597848,"AT"
"71","AT211","age_3039","gender_M",0.000465980055277298,"AT"
"72","AT211","age_1829","gender_F",0.000411129419106601,"AT"
"73","AT212","age_3039","gender_F",0.000210905674315419,"AT"
"74","AT212","age_0017","gender_M",0.000241857296225518,"AT"
"75","AT212","age_3039","gender_M",0.000378116829973444,"AT"
"76","AT212","age_1829","gender_F",0.000336859488890659,"AT"
"77","AT212","age_4099","gender_F",7.09634257563789e-05,"AT"
"78","AT212","age_4099","gender_M",0.000122128438729036,"AT"
"79","AT212","age_1829","gender_M",0.000490327614288205,"AT"
"80","AT212","age_0017","gender_F",0.000183990477289386,"AT"
"81","AT221","age_0017","gender_M",0.000375962250261109,"AT"
"82","AT221","age_4099","gender_F",8.54813988303352e-05,"AT"
"83","AT221","age_0017","gender_F",0.000280991027140842,"AT"
"84","AT221","age_1829","gender_M",0.000589911448092905,"AT"
"85","AT221","age_1829","gender_F",0.000487607631876256,"AT"
"86","AT221","age_4099","gender_M",0.000137620623475486,"AT"
"87","AT221","age_3039","gender_M",0.000475905274177299,"AT"
"88","AT221","age_3039","gender_F",0.000312528685457244,"AT"
"89","AT222","age_0017","gender_F",0.000145710585585327,"AT"
"90","AT222","age_3039","gender_M",0.000319407952569042,"AT"
"91","AT222","age_0017","gender_M",0.000301117335597848,"AT"
"92","AT222","age_4099","gender_M",0.000117888423404474,"AT"
"93","AT222","age_3039","gender_F",0.000182970617104157,"AT"
"94","AT222","age_4099","gender_F",5.76859434050368e-05,"AT"
"95","AT222","age_1829","gender_F",0.000363155173682512,"AT"
"96","AT222","age_1829","gender_M",0.000478022769979288,"AT"
"97","AT223","age_3039","gender_F",0.000138099198665457,"AT"
"98","AT223","age_1829","gender_F",0.000376756030008653,"AT"
"99","AT223","age_0017","gender_F",0.000234733523611527,"AT"
"100","AT223","age_3039","gender_M",0.000370864100831767,"AT"
"101","AT223","age_1829","gender_M",0.000484381119354434,"AT"
"102","AT223","age_4099","gender_M",0.000105236042490318,"AT"
"103","AT223","age_4099","gender_F",0,"AT"
"104","AT223","age_0017","gender_M",0.000295341548058563,"AT"
"105","AT224","age_3039","gender_M",0.000353995439050332,"AT"
"106","AT224","age_3039","gender_F",0.000210905674315419,"AT"
"107","AT224","age_0017","gender_F",0.000292317727163602,"AT"
"108","AT224","age_4099","gender_F",5.00452759145295e-05,"AT"
"109","AT224","age_1829","gender_F",0.000382742800951505,"AT"
"110","AT224","age_4099","gender_M",0.000101437031511755,"AT"
"111","AT224","age_0017","gender_M",0.000281908010886775,"AT"
"112","AT224","age_1829","gender_M",0.000385049045936513,"AT"
"113","AT225","age_4099","gender_M",8.30675072296669e-05,"AT"
"114","AT225","age_4099","gender_F",3.7772253327724e-05,"AT"
"115","AT225","age_1829","gender_F",0.000312768613167561,"AT"
"116","AT225","age_3039","gender_F",0.000138099198665457,"AT"
"117","AT225","age_0017","gender_M",0.00026488893256043,"AT"
"118","AT225","age_1829","gender_M",0.000426744559663849,"AT"
"119","AT225","age_3039","gender_M",0,"AT"
"120","AT225","age_0017","gender_F",0.000167956963769074,"AT"
"121","AT311","age_0017","gender_F",0.000263107294815536,"AT"
"122","AT311","age_3039","gender_F",0.000138099198665457,"AT"
"123","AT311","age_1829","gender_M",0.000490327614288205,"AT"
"124","AT311","age_0017","gender_M",0.000397618710238468,"AT"
"125","AT311","age_3039","gender_M",0.000319407952569042,"AT"
"126","AT311","age_1829","gender_F",0.000355333123939415,"AT"
"127","AT311","age_4099","gender_M",0.000108457600664394,"AT"
"128","AT311","age_4099","gender_F",3.7772253327724e-05,"AT"
"129","AT312","age_3039","gender_M",0.000479515029024203,"AT"
"130","AT312","age_1829","gender_F",0.000482103829280754,"AT"
"131","AT312","age_1829","gender_M",0.000606557689244783,"AT"
"132","AT312","age_0017","gender_F",0.000292317727163602,"AT"
"133","AT312","age_4099","gender_M",0.000142942652846874,"AT"
"134","AT312","age_4099","gender_F",7.86477883693737e-05,"AT"
"135","AT312","age_3039","gender_F",0.000334148969775776,"AT"
"136","AT312","age_0017","gender_M",0.000377497636835384,"AT"
"137","AT313","age_4099","gender_M",8.30675072296669e-05,"AT"
"138","AT313","age_0017","gender_F",0.000109976757060142,"AT"
"139","AT313","age_3039","gender_M",0.000259645710147529,"AT"
"140","AT313","age_3039","gender_F",0,"AT"
"141","AT313","age_4099","gender_F",3.7772253327724e-05,"AT"
"142","AT313","age_1829","gender_F",0.000220572659458571,"AT"
"143","AT313","age_0017","gender_M",0.000135392247170635,"AT"
"144","AT313","age_1829","gender_M",0.000414707292712011,"AT"
"145","AT315","age_1829","gender_M",0.00054158063283254,"AT"
"146","AT315","age_0017","gender_M",0.00025436390031385,"AT"
"147","AT315","age_4099","gender_F",8.54813988303352e-05,"AT"
"148","AT315","age_1829","gender_F",0.000422052875942531,"AT"
"149","AT315","age_3039","gender_F",0.000301246430071434,"AT"
"150","AT315","age_3039","gender_M",0.000378116829973444,"AT"
"151","AT315","age_4099","gender_M",0.00012287811311973,"AT"
"152","AT315","age_0017","gender_F",0.000276521790274639,"AT"
"153","AT322","age_4099","gender_M",0.000147671561469288,"AT"
"154","AT322","age_4099","gender_F",8.23955285815638e-05,"AT"
"155","AT322","age_1829","gender_F",0.00050698161619524,"AT"
"156","AT322","age_0017","gender_F",0.000297096510536325,"AT"
"157","AT322","age_1829","gender_M",0.000699494276891009,"AT"
"158","AT322","age_0017","gender_M",0.000401680227727034,"AT"
"159","AT322","age_3039","gender_F",0.000369136521288264,"AT"
"160","AT322","age_3039","gender_M",0.000511396223678182,"AT"
"161","AT323","age_4099","gender_M",0.000150594301140822,"AT"
"162","AT323","age_3039","gender_M",0.000513578708401261,"AT"
"163","AT323","age_0017","gender_F",0.000271592628734795,"AT"
"164","AT323","age_0017","gender_M",0.000378992197113512,"AT"
"165","AT323","age_4099","gender_F",0.000100398479985821,"AT"
"166","AT323","age_3039","gender_F",0.000355464169096464,"AT"
"167","AT323","age_1829","gender_M",0.00066521102347431,"AT"
"168","AT323","age_1829","gender_F",0.000525029078424733,"AT"
"169","AT331","age_1829","gender_F",0.000336859488890659,"AT"
"170","AT331","age_0017","gender_M",0.000319982797146567,"AT"
"171","AT331","age_3039","gender_F",0.000231039159136545,"AT"
"172","AT331","age_1829","gender_M",0.000447079877156494,"AT"
"173","AT331","age_3039","gender_M",0.000170013749628526,"AT"
"174","AT331","age_4099","gender_M",9.92521651962591e-05,"AT"
"175","AT331","age_4099","gender_F",5.76859434050368e-05,"AT"
"176","AT331","age_0017","gender_F",0.000196456456452001,"AT"
"177","AT332","age_4099","gender_M",0.000141050012199847,"AT"
"178","AT332","age_0017","gender_F",0.000305387567787691,"AT"
"179","AT332","age_3039","gender_F",0.000341042283791013,"AT"
"180","AT332","age_4099","gender_F",9.13948788808263e-05,"AT"
"181","AT332","age_1829","gender_F",0.00049510292749795,"AT"
"182","AT332","age_3039","gender_M",0.000489346512660781,"AT"
"183","AT332","age_0017","gender_M",0.000389696269501842,"AT"
"184","AT332","age_1829","gender_M",0.000612380700253561,"AT"
"185","AT333","age_1829","gender_M",0.000271546723387815,"AT"
"186","AT333","age_4099","gender_M",8.30675072296669e-05,"AT"
"187","AT333","age_3039","gender_F",0,"AT"
"188","AT333","age_0017","gender_M",0,"AT"
"189","AT333","age_3039","gender_M",0.000225254896381264,"AT"
"190","AT333","age_1829","gender_F",0.00027851970210501,"AT"
"191","AT333","age_0017","gender_F",0.000196456456452001,"AT"
"192","AT333","age_4099","gender_F",0,"AT"
"193","AT334","age_3039","gender_M",0.000415733459802523,"AT"
"194","AT334","age_4099","gender_F",6.31927609418692e-05,"AT"
"195","AT334","age_0017","gender_M",0.000179384118483855,"AT"
"196","AT334","age_1829","gender_M",0.00054158063283254,"AT"
"197","AT334","age_3039","gender_F",0.000259449499781857,"AT"
"198","AT334","age_4099","gender_M",0.000128584632656787,"AT"
"199","AT334","age_0017","gender_F",0.000215164652281781,"AT"
"200","AT334","age_1829","gender_F",0.000411129419106601,"AT"
"201","AT335","age_3039","gender_F",0.00029475784135864,"AT"
"202","AT335","age_0017","gender_F",0.000256504578172816,"AT"
"203","AT335","age_4099","gender_F",9.79113648951024e-05,"AT"
"204","AT335","age_4099","gender_M",0.000147671561469288,"AT"
"205","AT335","age_1829","gender_F",0.00047766153534751,"AT"
"206","AT335","age_0017","gender_M",0.000323911059430327,"AT"
"207","AT335","age_3039","gender_M",0.000496595528748251,"AT"
"208","AT335","age_1829","gender_M",0.000612380700253561,"AT"
"209","AT341","age_3039","gender_F",0.00024669284614239,"AT"
"210","AT341","age_3039","gender_M",0.000353995439050332,"AT"
"211","AT341","age_0017","gender_F",0,"AT"
